,class,c_index,c_index.1,c_index.2,c_index.3,ct_index,ct_index.1,ct_index.2,ct_index.3,model,task,source_dir
0,,mean,std,min,max,mean,std,min,max,GB,AIDA_LP_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_LP_1m_42_time2event
1,macro_average,53.72,8.62,46.8,68.06,53.34,9.21,45.55,68.13,GB,AIDA_LP_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_LP_1m_42_time2event
2,micro_average,53.72,8.62,46.8,68.06,53.34,9.21,45.55,68.13,GB,AIDA_LP_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_LP_1m_42_time2event
3,weighted_average,53.72,8.62,46.8,68.06,53.34,9.21,45.55,68.13,GB,AIDA_LP_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_LP_1m_42_time2event
4,,mean,std,min,max,mean,std,min,max,GB,AIDA_LP_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_LP_6m_42_time2event
5,macro_average,59.53,9.66,45.48,68.42,61.35,11.79,46.05,73.99,GB,AIDA_LP_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_LP_6m_42_time2event
6,micro_average,59.53,9.66,45.48,68.42,61.35,11.79,46.05,73.99,GB,AIDA_LP_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_LP_6m_42_time2event
7,weighted_average,59.53,9.66,45.48,68.42,61.35,11.79,46.05,73.99,GB,AIDA_LP_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_LP_6m_42_time2event
8,,mean,std,min,max,mean,std,min,max,GB,AIDA_PFS_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_PFS_1m_42_time2event
9,macro_average,52.45,9.63,45.99,68.19,52.91,9.71,46.28,68.79,GB,AIDA_PFS_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_PFS_1m_42_time2event
10,micro_average,52.45,9.63,45.99,68.19,52.91,9.71,46.28,68.79,GB,AIDA_PFS_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_PFS_1m_42_time2event
11,weighted_average,52.45,9.63,45.99,68.19,52.91,9.71,46.28,68.79,GB,AIDA_PFS_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_PFS_1m_42_time2event
12,,mean,std,min,max,mean,std,min,max,GB,AIDA_PFS_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_PFS_6m_42_time2event
13,macro_average,50.54,11.29,34.81,61.11,50.92,11.96,35.87,63.23,GB,AIDA_PFS_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_PFS_6m_42_time2event
14,micro_average,50.54,11.29,34.81,61.11,50.92,11.96,35.87,63.23,GB,AIDA_PFS_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_PFS_6m_42_time2event
15,weighted_average,50.54,11.29,34.81,61.11,50.92,11.96,35.87,63.23,GB,AIDA_PFS_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_PFS_6m_42_time2event
16,,mean,std,min,max,mean,std,min,max,GB,AIDA_M+_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_M+_6m_42_time2event
17,macro_average,47.48,7.0,40.1,58.36,48.83,7.38,38.92,59.26,GB,AIDA_M+_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_M+_6m_42_time2event
18,micro_average,47.48,7.0,40.1,58.36,48.83,7.38,38.92,59.26,GB,AIDA_M+_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_M+_6m_42_time2event
19,weighted_average,47.48,7.0,40.1,58.36,48.83,7.38,38.92,59.26,GB,AIDA_M+_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_M+_6m_42_time2event
20,,mean,std,min,max,mean,std,min,max,GB,AIDA_M+_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_M+_1m_42_time2event
21,macro_average,53.98,8.34,42.99,62.38,54.48,8.2,43.57,63.07,GB,AIDA_M+_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_M+_1m_42_time2event
22,micro_average,53.98,8.34,42.99,62.38,54.48,8.2,43.57,63.07,GB,AIDA_M+_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_M+_1m_42_time2event
23,weighted_average,53.98,8.34,42.99,62.38,54.48,8.2,43.57,63.07,GB,AIDA_M+_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_M+_1m_42_time2event
24,,mean,std,min,max,mean,std,min,max,GB,AIDA_OS_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_OS_6m_42_time2event
25,macro_average,58.23,9.4,49.57,72.39,59.39,9.55,49.67,73.65,GB,AIDA_OS_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_OS_6m_42_time2event
26,micro_average,58.23,9.4,49.57,72.39,59.39,9.55,49.67,73.65,GB,AIDA_OS_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_OS_6m_42_time2event
27,weighted_average,58.23,9.4,49.57,72.39,59.39,9.55,49.67,73.65,GB,AIDA_OS_6m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_OS_6m_42_time2event
28,,mean,std,min,max,mean,std,min,max,GB,AIDA_OS_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_OS_1m_42_time2event
29,macro_average,57.01,8.35,45.83,67.12,56.96,8.48,45.8,67.68,GB,AIDA_OS_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_OS_1m_42_time2event
30,micro_average,57.01,8.35,45.83,67.12,56.96,8.48,45.8,67.68,GB,AIDA_OS_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_OS_1m_42_time2event
31,weighted_average,57.01,8.35,45.83,67.12,56.96,8.48,45.8,67.68,GB,AIDA_OS_1m_42,survivalGradientBoosting_knn_normalize_categoricalencode_CTIx_AIDA_OS_1m_42_time2event
